title,year,popularity,vote_average,vote_count
Harry Potter and the Deathly Hallows: Part 1,2010,33.533,7.7,10788
How to Train Your Dragon,2010,28.734,7.7,7610
Iron Man 2,2010,28.515,6.8,12368
Toy Story,1995,28.005,7.9,10174
Inception,2010,27.92,8.3,22186
Percy Jackson & the Olympians: The Lightning Thief,2010,26.691,6.1,4229
Avatar,2009,26.526,7.4,18676
Toy Story 3,2010,24.445,7.7,8340
Despicable Me,2010,23.673,7.2,10057
Megamind,2010,22.855,6.8,3635
Toy Story 2,1999,22.698,7.5,7553
Alice in Wonderland,2010,22.02,6.6,8713
The Expendables,2010,21.517,6.1,4647
Tangled,2010,21.511,7.5,6407
Saw: The Final Chapter,2010,20.37,6.0,1488
The Twilight Saga: Eclipse,2010,20.34,6.0,4909
The Book of Eli,2010,18.985,6.7,3495
LelleBelle,2010,18.586,4.5,36
The Bourne Supremacy,2004,18.199,7.3,4367
Shutter Island,2010,18.06,8.1,12625
The Bourne Identity,2002,17.935,7.4,5406
Knight and Day,2010,17.713,6.0,2494
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,17.382,6.3,3196
Step Up 3D,2010,17.174,6.7,1160
The A-Team,2010,17.097,6.3,2703
The King's Speech,2010,16.798,7.7,5013
Bad Boys,1995,16.608,6.6,2936
The Last Airbender,2010,16.595,4.6,2143
Predators,2010,16.216,6.1,1979
The Social Network,2010,15.889,7.2,6116
Undisputed III: Redemption,2010,15.886,7.4,302
Apollo 13,1995,15.855,7.4,2821
Armageddon,1998,15.799,6.7,4267
The Bourne Ultimatum,2007,15.62,7.4,4440
Clash of the Titans,2010,15.574,5.7,3714
The Back-Up Plan,2010,15.49,6.0,806
Robin Hood,2010,15.444,6.3,2569
Nanny McPhee and the Big Bang,2010,15.213,6.1,953
Shrek Forever After,2010,15.041,6.1,3843
Easy A,2010,14.69,6.8,4168
The Sorcerer's Apprentice,2010,14.463,5.9,2879
Scott Pilgrim vs. the World,2010,14.383,7.3,3882
Grown Ups,2010,14.291,6.1,3171
Some Like It Hot,1959,14.2,8.2,1562
Faster,2010,14.172,6.2,895
The Wolfman,2010,14.03,5.7,1009
Unstoppable,2010,14.01,6.4,1913
Black Swan,2010,13.745,7.6,8374
Tinker Bell and the Great Fairy Rescue,2010,13.724,6.5,451
Three Steps Above Heaven,2010,13.721,7.5,960
Centurion,2010,13.548,6.1,673
The Other Guys,2010,13.508,6.2,2187
The Town,2010,13.476,7.1,2386
Jonah Hex,2010,13.467,4.6,708
TRON: Legacy,2010,13.459,6.3,4387
Prince of Persia: The Sands of Time,2010,13.44,6.2,4040
The Great Mouse Detective,1986,13.348,7.1,769
The Lovely Bones,2010,13.285,6.8,2226
All About Eve,2000,13.163,8.2,685
True Grit,2010,13.118,7.2,2816
I Spit on Your Grave,2010,13.102,6.3,977
Kick-Ass,2010,13.08,7.1,7540
Robot Chicken: Star Wars Episode III,2010,13.062,7.5,60
Salt,2010,13.025,6.3,3240
Legend of the BoneKnapper Dragon,2010,13.013,6.4,116
From Paris with Love,2010,12.862,6.2,1075
Batman: Under the Red Hood,2010,12.704,7.7,756
Arthur 3: The War of the Two Worlds,2010,12.679,5.6,865
Tooth Fairy,2010,12.65,5.3,1058
Machete,2010,12.557,6.3,1862
The Secret in Their Eyes,2010,12.531,7.9,1141
Date Night,2010,12.498,6.0,1743
Due Date,2010,12.445,6.3,2973
Repo Men,2010,12.437,6.2,976
Superman/Shazam!: The Return of Black Adam,2010,12.395,7.1,140
Summer Wars,2010,12.275,7.5,447
The Karate Kid,2010,12.256,6.3,3140
Diary of a Wimpy Kid,2010,12.256,6.0,736
The Crazies,2010,12.246,6.2,1036
The Girl Who Kicked the Hornet's Nest,2010,12.235,7.0,705
Little Fockers,2010,12.153,5.6,1883
RED,2010,12.082,6.6,4162
Dear John,2010,12.048,6.8,2676
Legion,2010,12.032,5.3,1154
Tales from Earthsea,2010,12.005,6.6,502
Leap Year,2010,11.821,6.7,990
Life As We Know It,2010,11.806,6.8,1748
The Girl Who Played with Fire,2010,11.655,7.0,881
Fair Game,2010,11.624,6.6,384
Camp Rock 2: The Final Jam,2010,11.542,6.1,878
Green Zone,2010,11.519,6.4,1176
Justice League: Crisis on Two Earths,2010,11.498,7.2,277
Remember Me,2010,11.453,7.1,2079
127 Hours,2010,11.435,7.0,4469
Scooby-Doo! Curse of the Lake Monster,2010,11.372,5.6,171
Piranha 3D,2010,11.302,5.3,1029
