movie,return_ratio,year,tconst,genres,studio
Pirates of the Caribbean: On Stranger Tides,2.13377435460302,2011,tt1298650,"Action,Adventure,Fantasy",BV
Avengers: Age of Ultron,4.63224389292196,2015,tt2395427,"Action,Adventure,Sci-Fi",BV
Avengers: Infinity War,8.089832273333334,2018,tt4154756,"Action,Adventure,Sci-Fi",BV
Justice League,1.9498983466666666,2017,tt0974015,"Action,Adventure,Fantasy",WB
Spectre,2.59898366,2015,tt2379713,"Action,Adventure,Thriller",Sony
The Dark Knight Rises,4.573011629090909,2012,tt1345836,"Action,Thriller",WB
Solo: A Star Wars Story,1.206977669090909,2018,tt3778644,"Action,Adventure,Fantasy",BV
The Lone Ranger,0.2701972,2013,tt1210819,"Action,Adventure,Western",BV
John Carter,0.29395192363636363,2012,tt0401729,"Action,Adventure,Sci-Fi",BV
Tangled,2.028073753846154,2010,tt0398286,"Adventure,Animation,Comedy",BV
Captain America: Civil War,5.192615048,2016,tt3498820,"Action,Adventure,Sci-Fi",BV
Batman v Superman: Dawn of Justice,3.7914419,2016,tt2975590,"Action,Adventure,Fantasy",WB
The Hobbit: An Unexpected Journey,4.280028544,2012,tt0903624,"Adventure,Family,Fantasy",WB (NL)
The Hobbit: The Desolation of Smaug,3.87493484,2013,tt1170358,"Adventure,Fantasy",WB (NL)
The Fate of the Furious,4.842444128,2017,tt4630562,"Action,Crime,Thriller",Uni.
Pirates of the Caribbean: Dead Men Tell No Tales,3.1773913608695654,2017,tt1790809,"Action,Adventure,Fantasy",BV
Man of Steel,3.2624223822222223,2013,tt0770828,"Action,Adventure,Sci-Fi",WB
The Amazing Spider-Man,3.636004227272727,2012,tt0948470,"Action,Adventure,Sci-Fi",Sony
Battleship,0.7214141681818181,2012,tt1440129,"Action,Adventure,Sci-Fi",Uni.
Transformers: The Last Knight,2.378166004608295,2017,tt3371366,"Action,Adventure,Sci-Fi",Par.
Jurassic World,9.70290925116279,2015,tt0369610,"Action,Adventure,Sci-Fi",Uni.
Transformers: Age of Extinction,5.426086438095238,2014,tt2109248,"Action,Adventure,Sci-Fi",Par.
Robin Hood,1.0378388285714286,2010,tt0955308,"Action,Adventure,Drama",Uni.
Black Panther,9.24158895,2018,tt1825683,"Action,Adventure,Sci-Fi",BV
Incredibles 2,8.255512275,2018,tt3606756,"Action,Adventure,Animation",BV
Finding Dory,6.53755377,2016,tt2277860,"Adventure,Animation,Comedy",BV
Toy Story 3,6.41942201,2010,tt0435761,"Adventure,Animation,Comedy",BV
Skyfall,6.07443629,2012,tt1074638,"Action,Adventure,Thriller",Sony
Monsters University,4.06038329,2013,tt1453405,"Adventure,Animation,Comedy",BV
X-Men: Days of Future Past,3.908921545,2014,tt1877832,"Action,Adventure,Sci-Fi",Fox
The Amazing Spider-Man 2,3.559251345,2014,tt1872181,"Action,Adventure,Sci-Fi",Sony
Cars 2,2.75803129,2011,tt1216475,"Adventure,Animation,Comedy",BV
Fantastic Beasts: The Crimes of Grindelwald,3.058879935,2018,tt4123430,"Adventure,Family,Fantasy",WB
Green Lantern,0.68068332,2011,tt1133985,"Action,Adventure,Sci-Fi",WB
Transformers: Dark of the Moon,6.570159415384615,2011,tt1399103,"Action,Adventure,Sci-Fi",P/DW
Jack the Giant Slayer,0.3480779794871795,2013,tt1351685,"Adventure,Fantasy",WB (NL)
Star Trek Into Darkness,2.6640012894736844,2013,tt1408101,"Action,Adventure,Sci-Fi",Par.
World War Z,2.8624966368421054,2013,tt0816711,"Action,Adventure,Horror",Par.
Pacific Rim,1.6989779578947368,2013,tt1663662,"Action,Adventure,Sci-Fi",WB
The Good Dinosaur,1.4365768373333334,2015,tt1979388,"Adventure,Animation,Comedy",BV
Brave,3.280479535135135,2012,tt1217209,"Adventure,Animation,Comedy",BV
Kong: Skull Island,2.941215518918919,2017,tt3731562,"Action,Adventure,Fantasy",WB
Star Trek Beyond,1.673786881081081,2016,tt2660888,"Action,Adventure,Sci-Fi",Par.
Blade Runner 2049,0.8995219837837838,2017,tt1856101,"Drama,Mystery,Sci-Fi",WB
Thor: Ragnarok,5.455768405555555,2017,tt3501632,"Action,Adventure,Comedy",BV
Maleficent,4.5552447944444445,2014,tt1587310,"Action,Adventure,Family",BV
The Legend of Tarzan,1.6419171444444445,2016,tt0918940,"Action,Adventure,Drama",WB
Hugo,0.41062383888888887,2011,tt0970179,"Adventure,Drama,Family",Par.
Valerian and the City of a Thousand Planets,0.4198762555555556,2017,tt2239822,"Action,Adventure,Fantasy",STX
Jupiter Ascending,0.28192758659217876,2015,tt1617661,"Action,Adventure,Sci-Fi",WB
X-Men: Apocalypse,2.921236151685393,2016,tt3385516,"Action,Adventure,Sci-Fi",Fox
The Meg,2.7919913314606744,2018,tt4779682,"Action,Horror,Sci-Fi",WB
Edge of Tomorrow,1.6446489438202248,2014,tt1631867,"Action,Sci-Fi",WB
Inside Out,5.918272588571429,2015,tt2096673,"Adventure,Animation,Comedy",BV
Spider-Man: Homecoming,5.9392428,2017,tt2250912,"Action,Adventure,Sci-Fi",Sony
Suicide Squad,5.120913948571428,2016,tt1386697,"Action,Adventure,Fantasy",WB
Coco,4.758480662857143,2017,tt2380307,"Adventure,Animation,Comedy",BV
Cars 3,2.0653856228571428,2017,tt3606752,"Adventure,Animation,Comedy",BV
King Arthur: Legend of the Sword,0.021745154285714285,2017,tt1972591,"Action,Adventure,Drama",WB
47 Ronin,0.08616737142857143,2013,tt1335975,"Action,Adventure,Drama",Uni.
Jurassic World: Fallen Kingdom,9.13819152352941,2018,tt4881806,"Action,Adventure,Sci-Fi",Uni.
Guardians of the Galaxy,5.494350752941177,2014,tt2015381,"Action,Adventure,Comedy",BV
Iron Man 2,4.491704235294118,2010,tt1228705,"Action,Adventure,Sci-Fi",Par.
Captain America: The Winter Soldier,4.7302873352941175,2014,tt1843866,"Action,Adventure,Sci-Fi",BV
Dawn of the Planet of the Apes,4.4070009117647055,2014,tt2103281,"Action,Adventure,Drama",Fox
Snow White and the Huntsman,2.271520594117647,2012,tt1735898,"Action,Adventure,Drama",Uni.
Tomorrowland,0.7650814117647059,2015,tt1964418,"Action,Adventure,Family",BV
Alice Through the Looking Glass,1.0821793705882352,2016,tt2567026,"Adventure,Family,Fantasy",BV
Shrek Forever After,5.030190666666667,2010,tt0892791,"Adventure,Animation,Comedy",P/DW
