movie,return_ratio,year,tconst,genres,studio,averagerating,numvotes
Pirates of the Caribbean: On Stranger Tides,2.13377435460302,2011,tt1298650,Action,BV,6.6,447624
Pirates of the Caribbean: On Stranger Tides,2.13377435460302,2011,tt1298650,Adventure,BV,6.6,447624
Pirates of the Caribbean: On Stranger Tides,2.13377435460302,2011,tt1298650,Fantasy,BV,6.6,447624
Avengers: Age of Ultron,4.63224389292196,2015,tt2395427,Action,BV,7.3,665594
Avengers: Age of Ultron,4.63224389292196,2015,tt2395427,Adventure,BV,7.3,665594
Avengers: Age of Ultron,4.63224389292196,2015,tt2395427,Sci-Fi,BV,7.3,665594
Avengers: Infinity War,8.089832273333334,2018,tt4154756,Action,BV,8.5,670926
Avengers: Infinity War,8.089832273333334,2018,tt4154756,Adventure,BV,8.5,670926
Avengers: Infinity War,8.089832273333334,2018,tt4154756,Sci-Fi,BV,8.5,670926
Justice League,1.9498983466666666,2017,tt0974015,Action,WB,6.5,329135
Justice League,1.9498983466666666,2017,tt0974015,Adventure,WB,6.5,329135
Justice League,1.9498983466666666,2017,tt0974015,Fantasy,WB,6.5,329135
Spectre,2.59898366,2015,tt2379713,Action,Sony,6.8,352504
Spectre,2.59898366,2015,tt2379713,Adventure,Sony,6.8,352504
Spectre,2.59898366,2015,tt2379713,Thriller,Sony,6.8,352504
The Dark Knight Rises,4.573011629090909,2012,tt1345836,Action,WB,8.4,1387769
The Dark Knight Rises,4.573011629090909,2012,tt1345836,Thriller,WB,8.4,1387769
Solo: A Star Wars Story,1.206977669090909,2018,tt3778644,Action,BV,7.0,226243
Solo: A Star Wars Story,1.206977669090909,2018,tt3778644,Adventure,BV,7.0,226243
Solo: A Star Wars Story,1.206977669090909,2018,tt3778644,Fantasy,BV,7.0,226243
The Lone Ranger,0.2701972,2013,tt1210819,Action,BV,6.4,208827
The Lone Ranger,0.2701972,2013,tt1210819,Adventure,BV,6.4,208827
The Lone Ranger,0.2701972,2013,tt1210819,Western,BV,6.4,208827
John Carter,0.29395192363636363,2012,tt0401729,Action,BV,6.6,241792
John Carter,0.29395192363636363,2012,tt0401729,Adventure,BV,6.6,241792
John Carter,0.29395192363636363,2012,tt0401729,Sci-Fi,BV,6.6,241792
Tangled,2.028073753846154,2010,tt0398286,Adventure,BV,7.8,366366
Tangled,2.028073753846154,2010,tt0398286,Animation,BV,7.8,366366
Tangled,2.028073753846154,2010,tt0398286,Comedy,BV,7.8,366366
Captain America: Civil War,5.192615048,2016,tt3498820,Action,BV,7.8,583507
Captain America: Civil War,5.192615048,2016,tt3498820,Adventure,BV,7.8,583507
Captain America: Civil War,5.192615048,2016,tt3498820,Sci-Fi,BV,7.8,583507
Batman v Superman: Dawn of Justice,3.7914419,2016,tt2975590,Action,WB,6.5,576909
Batman v Superman: Dawn of Justice,3.7914419,2016,tt2975590,Adventure,WB,6.5,576909
Batman v Superman: Dawn of Justice,3.7914419,2016,tt2975590,Fantasy,WB,6.5,576909
The Hobbit: An Unexpected Journey,4.280028544,2012,tt0903624,Adventure,WB (NL),7.9,719629
The Hobbit: An Unexpected Journey,4.280028544,2012,tt0903624,Family,WB (NL),7.9,719629
The Hobbit: An Unexpected Journey,4.280028544,2012,tt0903624,Fantasy,WB (NL),7.9,719629
The Hobbit: The Desolation of Smaug,3.87493484,2013,tt1170358,Adventure,WB (NL),7.8,565563
The Hobbit: The Desolation of Smaug,3.87493484,2013,tt1170358,Fantasy,WB (NL),7.8,565563
The Fate of the Furious,4.842444128,2017,tt4630562,Action,Uni.,6.7,179774
The Fate of the Furious,4.842444128,2017,tt4630562,Crime,Uni.,6.7,179774
The Fate of the Furious,4.842444128,2017,tt4630562,Thriller,Uni.,6.7,179774
Pirates of the Caribbean: Dead Men Tell No Tales,3.1773913608695654,2017,tt1790809,Action,BV,6.6,228592
Pirates of the Caribbean: Dead Men Tell No Tales,3.1773913608695654,2017,tt1790809,Adventure,BV,6.6,228592
Pirates of the Caribbean: Dead Men Tell No Tales,3.1773913608695654,2017,tt1790809,Fantasy,BV,6.6,228592
Man of Steel,3.2624223822222223,2013,tt0770828,Action,WB,7.1,647288
Man of Steel,3.2624223822222223,2013,tt0770828,Adventure,WB,7.1,647288
Man of Steel,3.2624223822222223,2013,tt0770828,Sci-Fi,WB,7.1,647288
The Amazing Spider-Man,3.636004227272727,2012,tt0948470,Action,Sony,7.0,525632
The Amazing Spider-Man,3.636004227272727,2012,tt0948470,Adventure,Sony,7.0,525632
The Amazing Spider-Man,3.636004227272727,2012,tt0948470,Sci-Fi,Sony,7.0,525632
Battleship,0.7214141681818181,2012,tt1440129,Action,Uni.,5.8,225342
Battleship,0.7214141681818181,2012,tt1440129,Adventure,Uni.,5.8,225342
Battleship,0.7214141681818181,2012,tt1440129,Sci-Fi,Uni.,5.8,225342
Transformers: The Last Knight,2.378166004608295,2017,tt3371366,Action,Par.,5.2,119007
Transformers: The Last Knight,2.378166004608295,2017,tt3371366,Adventure,Par.,5.2,119007
Transformers: The Last Knight,2.378166004608295,2017,tt3371366,Sci-Fi,Par.,5.2,119007
Jurassic World,9.70290925116279,2015,tt0369610,Action,Uni.,7.0,539338
Jurassic World,9.70290925116279,2015,tt0369610,Adventure,Uni.,7.0,539338
Jurassic World,9.70290925116279,2015,tt0369610,Sci-Fi,Uni.,7.0,539338
Transformers: Age of Extinction,5.426086438095238,2014,tt2109248,Action,Par.,5.7,283486
Transformers: Age of Extinction,5.426086438095238,2014,tt2109248,Adventure,Par.,5.7,283486
Transformers: Age of Extinction,5.426086438095238,2014,tt2109248,Sci-Fi,Par.,5.7,283486
Robin Hood,1.0378388285714286,2010,tt0955308,Action,Uni.,6.6,239480
Robin Hood,1.0378388285714286,2010,tt0955308,Adventure,Uni.,6.6,239480
Robin Hood,1.0378388285714286,2010,tt0955308,Drama,Uni.,6.6,239480
Black Panther,9.24158895,2018,tt1825683,Action,BV,7.3,516148
Black Panther,9.24158895,2018,tt1825683,Adventure,BV,7.3,516148
Black Panther,9.24158895,2018,tt1825683,Sci-Fi,BV,7.3,516148
Incredibles 2,8.255512275,2018,tt3606756,Action,BV,7.7,203510
Incredibles 2,8.255512275,2018,tt3606756,Adventure,BV,7.7,203510
Incredibles 2,8.255512275,2018,tt3606756,Animation,BV,7.7,203510
Finding Dory,6.53755377,2016,tt2277860,Adventure,BV,7.3,213542
Finding Dory,6.53755377,2016,tt2277860,Animation,BV,7.3,213542
Finding Dory,6.53755377,2016,tt2277860,Comedy,BV,7.3,213542
Toy Story 3,6.41942201,2010,tt0435761,Adventure,BV,8.3,682218
Toy Story 3,6.41942201,2010,tt0435761,Animation,BV,8.3,682218
