id,movie,production_budget,domestic_gross,worldwide_gross,year,month,return_ratio
1,Avatar,425000000.0,760507625.0,2776345279.0,2009,December,7.3220068329411765
2,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,2011,May,2.13377435460302
3,Dark Phoenix,350000000.0,42762350.0,149762350.0,2019,June,-0.4499294285714286
4,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,2015,May,4.63224389292196
5,Star Wars Ep. VIII: The Last Jedi,317000000.0,620181382.0,1316721747.0,2017,December,5.110104507886435
6,Star Wars Ep. VII: The Force Awakens,306000000.0,936662225.0,2053311220.0,2015,December,8.771155049019608
7,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,2018,April,8.089832273333334
8,Pirates of the Caribbean: At Worldâs End,300000000.0,309420425.0,963420425.0,2007,May,3.242802833333333
9,Justice League,300000000.0,229024295.0,655945209.0,2017,November,1.9498983466666666
10,Spectre,300000000.0,200074175.0,879620923.0,2015,November,2.59898366
11,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,2012,July,4.573011629090909
12,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,2018,May,1.206977669090909
13,The Lone Ranger,275000000.0,89302115.0,260002115.0,2013,July,0.2701972
14,John Carter,275000000.0,73058679.0,282778100.0,2012,March,0.29395192363636363
15,Tangled,260000000.0,200821936.0,586477240.0,2010,November,2.028073753846154
16,Spider-Man 3,258000000.0,336530303.0,894860230.0,2007,May,3.772831523255814
17,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,2016,May,5.192615048
18,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,2016,March,3.7914419
19,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,2012,December,4.280028544
20,Harry Potter and the Half-Blood Prince,250000000.0,302089278.0,935213767.0,2009,July,3.94921218
21,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,2013,December,3.87493484
22,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,2014,December,3.802789636
