genres,return_ratio,year
Action,2.13377435460302,2011
Adventure,2.13377435460302,2011
Fantasy,2.13377435460302,2011
Action,4.63224389292196,2015
Adventure,4.63224389292196,2015
Sci-Fi,4.63224389292196,2015
Action,8.089832273333334,2018
Adventure,8.089832273333334,2018
Sci-Fi,8.089832273333334,2018
Action,1.9498983466666666,2017
Adventure,1.9498983466666666,2017
Fantasy,1.9498983466666666,2017
Action,2.59898366,2015
Adventure,2.59898366,2015
Thriller,2.59898366,2015
Action,4.573011629090909,2012
Thriller,4.573011629090909,2012
Action,1.206977669090909,2018
Adventure,1.206977669090909,2018
Fantasy,1.206977669090909,2018
Action,0.2701972,2013
Adventure,0.2701972,2013
Western,0.2701972,2013
Action,0.29395192363636363,2012
Adventure,0.29395192363636363,2012
Sci-Fi,0.29395192363636363,2012
Adventure,2.028073753846154,2010
Animation,2.028073753846154,2010
Comedy,2.028073753846154,2010
Action,5.192615048,2016
Adventure,5.192615048,2016
Sci-Fi,5.192615048,2016
Action,3.7914419,2016
Adventure,3.7914419,2016
Fantasy,3.7914419,2016
Adventure,4.280028544,2012
Family,4.280028544,2012
Fantasy,4.280028544,2012
Adventure,3.87493484,2013
Fantasy,3.87493484,2013
Action,4.842444128,2017
Crime,4.842444128,2017
Thriller,4.842444128,2017
Action,3.1773913608695654,2017
Adventure,3.1773913608695654,2017
Fantasy,3.1773913608695654,2017
Action,3.2624223822222223,2013
Adventure,3.2624223822222223,2013
Sci-Fi,3.2624223822222223,2013
Action,3.636004227272727,2012
Adventure,3.636004227272727,2012
Sci-Fi,3.636004227272727,2012
Action,0.7214141681818181,2012
Adventure,0.7214141681818181,2012
Sci-Fi,0.7214141681818181,2012
Action,2.378166004608295,2017
Adventure,2.378166004608295,2017
Sci-Fi,2.378166004608295,2017
Action,9.70290925116279,2015
Adventure,9.70290925116279,2015
Sci-Fi,9.70290925116279,2015
Action,5.426086438095238,2014
Adventure,5.426086438095238,2014
Sci-Fi,5.426086438095238,2014
Action,1.0378388285714286,2010
Adventure,1.0378388285714286,2010
Drama,1.0378388285714286,2010
Action,9.24158895,2018
Adventure,9.24158895,2018
Sci-Fi,9.24158895,2018
Action,8.255512275,2018
Adventure,8.255512275,2018
Animation,8.255512275,2018
Adventure,6.53755377,2016
Animation,6.53755377,2016
Comedy,6.53755377,2016
Adventure,6.41942201,2010
Animation,6.41942201,2010
Comedy,6.41942201,2010
Action,6.07443629,2012
Adventure,6.07443629,2012
Thriller,6.07443629,2012
Adventure,4.06038329,2013
Animation,4.06038329,2013
Comedy,4.06038329,2013
Action,3.908921545,2014
Adventure,3.908921545,2014
Sci-Fi,3.908921545,2014
Action,3.559251345,2014
Adventure,3.559251345,2014
Sci-Fi,3.559251345,2014
Adventure,2.75803129,2011
Animation,2.75803129,2011
Comedy,2.75803129,2011
Adventure,3.058879935,2018
Family,3.058879935,2018
Fantasy,3.058879935,2018
Action,0.68068332,2011
Adventure,0.68068332,2011
Sci-Fi,0.68068332,2011
Action,6.570159415384615,2011
Adventure,6.570159415384615,2011
Sci-Fi,6.570159415384615,2011
Adventure,0.3480779794871795,2013
Fantasy,0.3480779794871795,2013
Action,2.6640012894736844,2013
Adventure,2.6640012894736844,2013
Sci-Fi,2.6640012894736844,2013
