id,movie,production_budget,domestic_gross,worldwide_gross,year,individual_ratio,net_return,return_ratio,tconst,start_year,genres,title
2,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,2011,3.13377435460302,876127750.0,2.13377435460302,tt1298650,2011,"Action,Adventure,Fantasy",Pirates of the Caribbean: On Stranger Tides
3,Dark Phoenix,350000000.0,42762350.0,149762350.0,2019,0.5500705714285714,-157475300.0,-0.4499294285714286,tt6565702,2019,"Action,Adventure,Sci-Fi",Dark Phoenix
4,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,2015,5.63224389292196,1531419831.0,4.63224389292196,tt2395427,2015,"Action,Adventure,Sci-Fi",Avengers: Age of Ultron
7,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,2018,9.089832273333334,2426949682.0,8.089832273333334,tt4154756,2018,"Action,Adventure,Sci-Fi",Avengers: Infinity War
9,Justice League,300000000.0,229024295.0,655945209.0,2017,2.9498983466666666,584969504.0,1.9498983466666666,tt0974015,2017,"Action,Adventure,Fantasy",Justice League
10,Spectre,300000000.0,200074175.0,879620923.0,2015,3.59898366,779695098.0,2.59898366,tt2379713,2015,"Action,Adventure,Thriller",Spectre
11,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,2012,5.573011629090909,1257578198.0,4.573011629090909,tt1345836,2012,"Action,Thriller",The Dark Knight Rises
12,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,2018,2.206977669090909,331918859.0,1.206977669090909,tt3778644,2018,"Action,Adventure,Fantasy",Solo: A Star Wars Story
13,The Lone Ranger,275000000.0,89302115.0,260002115.0,2013,1.2701972,74304230.0,0.2701972,tt1210819,2013,"Action,Adventure,Western",The Lone Ranger
14,John Carter,275000000.0,73058679.0,282778100.0,2012,1.2939519236363637,80836779.0,0.29395192363636363,tt0401729,2012,"Action,Adventure,Sci-Fi",John Carter
15,Tangled,260000000.0,200821936.0,586477240.0,2010,3.028073753846154,527299176.0,2.028073753846154,tt0398286,2010,"Adventure,Animation,Comedy",Tangled
